keyword,notes
"apprenticeship","Starter negative seed for construction"
"salary","Starter negative seed for construction"
"job vacancy","Starter negative seed for construction"
"cvs","Starter negative seed for construction"
"diy extension","Starter negative seed for construction"
"how to plaster","Starter negative seed for construction"
"tender alerts free","Starter negative seed for construction"
"construction news","Starter negative seed for construction"
"union","Starter negative seed for construction"
"health and safety course","Starter negative seed for construction"
"cscs mock test","Starter negative seed for construction"
"plant hire for public","Starter negative seed for construction"
"skip hire cheap","Starter negative seed for construction"
"architectural degree","Starter negative seed for construction"
