keyword,notes
"legal aid apply","Starter negative seed for legal"
"free advice forum","Starter negative seed for legal"
"diy divorce kit","Starter negative seed for legal"
"trainee solicitor vacancy","Starter negative seed for legal"
"paralegal job","Starter negative seed for legal"
"law degree","Starter negative seed for legal"
"mooting","Starter negative seed for legal"
"template will free","Starter negative seed for legal"
"citizen advice","Starter negative seed for legal"
"court form n1","Starter negative seed for legal"
"pupillage","Starter negative seed for legal"
"legal secretary job","Starter negative seed for legal"
