keyword,notes
"nhs jobs","Starter negative seed for medical"
"nurse salary","Starter negative seed for medical"
"healthcare assistant vacancy","Starter negative seed for medical"
"diy tooth extraction","Starter negative seed for medical"
"medical school","Starter negative seed for medical"
"placenta meaning","Starter negative seed for medical"
"symptom checker forum","Starter negative seed for medical"
"recreational","Starter negative seed for medical"
"grow your own","Starter negative seed for medical"
"stock photos before after","Starter negative seed for medical"
"locum shifts","Starter negative seed for medical"
