keyword,notes
"cabin crew jobs","Starter negative seed for travel"
"travel agent salary","Starter negative seed for travel"
"cheap flights only","Starter negative seed for travel"
"airline careers","Starter negative seed for travel"
"gap year volunteering free","Starter negative seed for travel"
"tourist board jobs","Starter negative seed for travel"
"travel insurance claim form","Starter negative seed for travel"
"passport appointment","Starter negative seed for travel"
"baggage allowance","Starter negative seed for travel"
"flight status","Starter negative seed for travel"
"travel influencer","Starter negative seed for travel"
"hostel jobs","Starter negative seed for travel"
